Number,Date,Payload,Possible,Done
104,08-Jan-21,Türksat 5A,no,-
105,20-Jan-21,Starlink 16 v1.0 (60 satellites),no,-
106,24-Jan-21,Transporter-1: (143 smallsat rideshare),no,-
107,04-Feb-21,Starlink 18 v1.0 (60 satellites),yes,x
108,16-Feb-21,Starlink 19 v1.0 (60 satellites),yes,x
109,04-Mar-21,Starlink 17 v1.0 (60 satellites),yes,x
110,11-Mar-21,Starlink 20 v1.0 (60 satellites),yes,x
111,14-Mar-21,Starlink 21 v1.0 (60 satellites),yes,x
112,24-Mar-21,Starlink 22 v1.0 (60 satellites),yes,x
113,07-Apr-21,Starlink 23 v1.0 (60 satellites),yes,x
114,23-Apr-21,Crew-2,no,-
115,29-Apr-21,Starlink 24 v1.0 (60 satellites),yes,x
116,04-May-21,Starlink 25 v1.0 (60 satellites),yes,x
117,09-May-21,Starlink 27 v1.0 (60 satellites),yes,x
118,15-May-21,Starlink 26 v1.0 (52 Satellites),yes,x
119,26-May-21,Starlink 28 v1.0 (60 Satellites),yes,x
120,03-Jun-21,SpaceX CRS-22,yes,x
121,06-Jun-21,SXM-8,yes,x
122,17-Jun-21,GPS III-05 (Neil Armstrong),yes,x
123,30-Jun-21,Transporter-2: (88 payloads Smallsat Rideshare),yes,x
124,29-Aug-21,SpaceX CRS-23,yes,x
125,14-Sep-21,Starlink Group 2-1 (v1.5 L1),yes,x
126,16-Sep-21,Inspiration4,yes,x
127,11-Nov-21,Crew-3,no,-
128,13-Nov-21,Starlink Group 4-1 (53 satellites),yes,x
129,24-Nov-21,Double Asteroid Redirection Test (DART),yes,x
130,02-Dec-21,Starlink Group 4-3 (48 satellites),yes,x
131,09-Dec-21,Imaging X-ray Polarimetry Explorer (IXPE),yes,x
132,18-Dec-21,Starlink Group 4-4,yes,x
133,19-Dec-21,Türksat 5B,yes,x
134,21-Dec-21,SpaceX CRS-24,yes,x